Judul Berita,Isi Berita,Kategori
Atikoh Tepis Isu Jika Ganjar-Mahfud Menang Sembako Murah Ditiadakan,"Jakarta - Istri calon presiden (capres) nomor urut 3 Ganjar Pranowo, Siti Atikoh, memastikan program pro-rakyat pemerintahan Presiden Joko Widodo (Jokowi) akan dilanjutkan jika suaminya memenangkan Pilpres 2024 mendatang. Program yang dimaksud mulai dari sembako murah, beasiswa pendidikan, hingga bantuan pesantren.Hal tersebut disampaikan Atikoh saat menggelar pertemuan bersama jajaran pengurus parpol beserta caleg pendukung Ganjar Pranowo dan Mahfud Md di sebuah restoran di Cianjur, Jawa Barat, Senin (4/12/2023). Atikoh lantas mengajak para caleg meluruskan kesalahpahaman yang terjadi di masyarakat.""Soal program dan visi misi perlu lebih diedukasi di masyarakat. Banyak isu dan semacam fitnah beredar. Pertama kalau paslon Ganjar-Mahfud jadi, sembako murah ditiadakan. Tidak, Bu,"" kata Atikoh pada Senin (4/12/2023).


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Baca juga: Istri Ganjar: Perlu Adanya Pendampingan Usaha Agar UMKM Naik KelasAtikoh menekankan Ganjar dan Mahfud justru akan memperbaiki program tersebut menjadi lebih baik. Ia mencontohkan program pemberian beasiswa kepada anak yang jumlah akan ditambah serta keberpihakan terhadap pesantren hingga guru ngaji.""Pasti akan dilanjutkan, justru nanti akan dikembangkan, improve kemudian program-program yang lain seperti beasiswa bagi anak-anak, ini justru akan semakin bertambah, termasuk juga kaitannya untuk keberpihakan kepada pesantren, kepada guru-guru ngaji, kepada guru-guru agama apapun. Karena itu sudah ditetapkan,"" jelasnya.""Insyaallah kita bisa mengedukasi masyarakat. Jangan sampai mereka termakan oleh berita-berita kurang pas atau berita menyesatkan,"" ujar Atikoh.Baca juga: Istri Ganjar Bicara Kedudukan Perempuan yang Dimuliakan, Kutip Surat An-NisaAtikoh mengajak seluruh elemen partai politik pengusung dan relawan untuk mengonsolidasikan kerja bersama di masa kampanye pemilu 2024. Ia menyerukan agar semua bersatu padu dalam sebuah rampak barisan, mengonsolidasikan kekuatan yang ada dalam menyentuh masyarakat.""Kita harus gerak cepat dan bekerja cerdas. Sat set kalau pakai istilah yang biasa disebut Pak Ganjar,"" kata Atikoh.""Utamanya mari kita bisa mengedukasi di mayarakat jamgan sampai termakan berita kurang pas dan menyesatkan,"" tambahnya.
(taa/gbr)


pilpres 2024 pemilu 2024 siti atikoh ganjar pranowo politik 



Pantau Pemilu
Cek rekam jejak, visi misi, profil, hingga berita terkini pasangan Capres dan Cawapres favoritmu di Pemilu 2024 sekarang!


Lihat",Politik
Carragher Vs Ronaldo dan Messi,"Jakarta - Jamie Carragher menyebut Lionel Messi sebagai GOAT dan jauh levelnya dari Cristiano Ronaldo. Perkataan Carragher malah bertepuk sebelah tangan.Jamie Carragher, eks Liverpool ini sudah pamor namanya jadi pundit sepakbola. Carragher jadi analisis sekaligus komentator di berbagai media besar seperti BBC, Sky Sports, dan CBS.Baca juga: Carragher Sebut Liverpool Bisa Jadi Pesaing Terbesar Man City Musim IniJamie Carragher baru-baru ini di stasiun TV CBS, berbicara lantang soal perdebatan GOAT alias Greatest of All Time di dunia sepakbola. Carragher memilih Lionel Messi dan tidak memandang Cristiano Ronaldo.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Tidak perlu ada perdebatan. Ronaldo jauh dari Messi,"" ujarnya. Ronaldo adalah pencetak gol terhebat sepanjang masa, sementara Messi adalah pemain terhebat sepanjang masa, tidak selevel. Ronaldo bikin gol, Messi juga mencetak gol dan pemain hebat,"" ujarnya.Baca juga: 3 Pemain Spesial Pilihan Carragher, Tak Ada Ronaldo!Kate Abdo sang host, lantas langsung memberikan fakta yang mencengangkan. CBS sedianya mengundang Lionel Messi untuk datang dan jadi bintang tamu ketika perhelatan Liga Champions tengah pekan ini. Messi malah menolaknya karena adanya Jamie Carragher!""Anda tahu kami membuat undangan resmi ke Inter Miami dan kami memintanya datang ke siaran ini. Anda mau tahu apa balasan resmi dari Inter Miami?"" kata Abdo kepada para pembicara siaran Liga Champions CBS Sports.""Lionel Messi tampaknya tidak akan tampil dalam siaran televisi di mana Jamie Carragher terlibat di dalamnya,"" ujar Abdo yang disambut tawa para pembicara, termasuk Carragher.""Hey, itu membuktikan klaim ketenaran saya. Siapa yang mau Anda inginkan, Messi atau saya? Apa Anda pikir Messi akan membawa energi seperti ini ke dalam siaran?"" Carragher membalas dengan maksud bercanda.Baca juga: Messi Ogah Seruangan Bareng Carragher, Tolak Tawaran Siaran TVJamie Carragher (Foto: Ben A. Pruchnie/Getty Images for Premier League)Jamie Carragher di awal tahun 2022 kemarin menyebut kalau Lionel Messi pernah menyebutnya sebagai keledai via DM Instagram. Carragher paham, dirinya kerap beri komentar tajam.""Itu dalam acara Monday Night Football dan saya mendapat pesan pribadi di Instagram dari dia [Messi] sendiri. Saya tidak akan menunjukkan pesan tersebut tapi dia menyebut saya sebagai keledai,"" Jamie Carragher mengungkapkan pada awal tahun 2022.Sementara untuk Cristiano Ronaldo, Carragher kerap melontarkan kata-kata tajam juga ketika CR7 bergabung ke Manchester United di periode keduanya.""Saya selalu berpikir dia [Ronaldo] adalah rekrutan yang aneh. Saya sudah menduga situasi ini akan datang, bahkan jika Ronaldo melakukan yang terbaik untuk Anda [Manchester United],"" kata Carragher kepada Sky Bet.Ronaldo pernah 'membalas' Jamie Carragher dengan menohok. Ketika siaran langsung di Old Trafford, Ronaldo menghampiri Gary Neville dan Roy Keane untuk bersalaman, sementara Jamie Carrgher dicuekin!Carragher berkarier di Liverpool pada tahun 1996 sampai 2013. 11 Trofi diraihnya, namun belum pernah merasakan titel juara Liga Inggris.Baca juga: Cristiano Ronaldo Dituding Sengaja Permalukan Carragher (aff/krs)


cristiano ronaldo lionel messi jamie carragher",Olahraga
"Bandar Pengendali Kurir Sabu di Jakut Diburu, Komunikasi Pakai Nomor AS","Jakarta - Polsek Metro Penjaringan menangkap UAM, kurir narkotika jenis sabu yang bertransaksi di depan masjid kawasan Tanjung Priok, Jakarta Utara (Jakut). Polisi memburu jaringan dan bandar pemasok sabu ke UAM.""Berdasarkan pengakuan tersangka UAM ke penyidik, temannya berinisial MI menawarkan pekerjaan menjemput dan mengantarkan sabu-sabu dengan iming-iming Rp 5 juta ditransfer ketika barang sudah habis,"" kata Kapolsek Metro Penjaringan Kompol M Probandono Bobby Danuardi, dilansir Antara, Senin (4/12/2023).Bobby mengatakan MI merupakan teman yang masih satu domisili dengan tersangka di Kelurahan Warakas. Setelah menerima tawaran menjadi kurir sabu dari IM, UAM dihubungi seseorang yang diduga bandar pemasok sabu berinisial C.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Baca juga: Transaksi 500 Gram Sabu di Depan Masjid di Jakut, Kurir Narkoba Ditangkap""Setelah tersangka mengiyakan pekerjaan tersebut, kemudian ada yang telepon dan WhatsApp ke tersangka mengatas namakan C,"" kata Bobby.C diduga adalah bandar besar narkotika yang menghubunginya dengan nomor terlacak dari Amerika Serikat yaitu +1 (234) 5292 XXX. UAM ditangkap pada Selasa (28/11) lalu.""Kami masih mengembangkan penyelidikan kasus ini hingga sampai kita dapatkan tersangka C,"" kata Bobby.Bobby mengatakan UAM sudah dua kali menjadi perantara dalam peredaran narkotika jenis sabu-sabu yang didapat dari tersangka C. Pada pertama kali, UAM berhasil mendapat upah Rp 5 juta ketika sekitar 600 gram sabu sudah habis.Baca juga: Dinkes DKI Minta KPU Wajibkan Anggota KPPS Pemilu Punya BPJS KesehatanNamun, saat kedua kalinya menyetujui menjadi kurir, UAM sudah ditangkap polisi dan sabu yang dipegangnya belum terjual habis. UAM pun belum sempat mendapatkan upah dari peredaran sabu yang kedua.Bobby mengatakan pelaku menggunakan modus operandi mengedarkan sabu dengan membawa sebagian narkotika itu di dalam jok sepeda motornya setiap kali terdapat transaksi dengan pembeli.Sebagian besar barang bukti lainnya disimpan di rumah UAM di Jalan Warakas VIII, Tanjung Priok, Jakarta Utara. Pelaku menyimpan sabu dengan wadah bungkus teh Tiongkok 'Guanyinwang' dan juga wadah minum kedap udara 'Tupperware'.Atas perbuatannya, UAM disangkakan Pasal 114 ayat 2 subsider Pasal 112 ayat 2 UU RI Nomor 35 tahun 2009 tentang Narkotika. UAM terancam pidana paling singkat lima tahun dan paling lama 20 tahun, serta denda paling sedikit Rp 1 miliar dan paling banyak Rp 10 miliar.
(jbr/mea)


jabodetabek hukum jakarta polsek metro penjaringan polsek penjaringan",Politik
Gibran Janjikan Program untuk Santri: Dana Abadi Pesantren-Santri 5.0,"Cawapres nomor urut 2, Gibran Rakabuming Raka, menjelaskan program yang telah ia siapkan untuk santri saat mengunjungi Pondok Pesantren (Ponpes) Asshiddiqiyah 2 di Tangerang, Senin (4/12). Program tersebut antara lain dana abadi pesantren hingga santri 5.0.",Politik
Polisi Sebut Ibu-Anak Hampir Tertabrak Truk Tangki Pertamina di Pandeglang,"Pandeglang - Kepala Satuan Lalu Lintas (Kasat Lantas) Polres Pandeglang, AKP Made Hendra Kusumanta, mengatakan seorang ibu dan anaknya hampir jadi korban dalam kecelakaan truk tangki pengangkut bahan bakar minyak (BBM) Pertamina. Hendra menyebut ibu dan anak tersebut sedang berada di pinggir jalan saat kejadian, beruntung keduanya langsung menghindari truk tangki tersebut.""Korban jiwa tidak ada, tapi di TKP ada dua orang, ibu dan anak yang sedang menunggu angkot. Kebetulan ada di lokasi dan menghindari mobil tersebut sehingga terjatuh hanya mengalami luka lecet aja,"" ungkap Hendra kepada wartawan di lokasi, Senin (4/12/2023).Hendra mengatakan peristiwa itu terjadi pada pukul 11.43 WIB. Dia mengungkapkan, pada saat di lokasi, sopir hilang kendali, kemudian menghantam warung milik warga yang berada di pinggir jalan.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Jadi dari TKP kita lihat mobil melaju dari arah Pandeglang menuju Labuan. Karena sopir kehilangan kendali sehingga dia banting setir ke arah kiri sehingga menabrak warung,"" ungkapnya.Baca juga: Truk Tangki Pertamina Kecelakaan di Pandeglang, Polisi Amankan SopirHendra mengatakan saat ini polisi sudah mengamankan sopir di Polres Pandeglang. Menurutnya, kecelakaan itu disebabkan kelalaian sopir.""Untuk sementara informasi yang kami terima dari pengendara ini kelalaian dari sopir, untuk rem blong bisa kami sampaikan kembali. Jadi kami akan melakukan pengecekan kendaraan dulu,"" katanya.Proses evakuasi mobil saat ini masih berlangsung. UPT PJJ Pandeglang menurunkan dua alat berat untuk membantu mengevakuasi.""Sementara untuk evakuasi kita bekerjasama dengan DPUPR, DPBD, menunggu pihak Pertamina karena ini bahan bakar biar kita evakuasi dan kita amankan,"" pungkas Hendra.Diberitakan sebelumnya kecelakaan tunggal truk tangki milik Pertamina terjadi di ruas Pandeglang-Labuan Km 1, tepatnya di Kampung Gardu Tanjak, Kelurahan Pandeglang, Banten. Kecelakaan terjadi siang tadi.Baca juga: Truk Tangki BBM Pertamina Tabrak Warung di Pinggir Jalan Pandeglang
(aud/aud)


truk tangki pertamina kecelakaan tunggal pandeglang",Politik
Elnusa Petrofin Beri Workshop Literasi & Pelatihan Jurnalistik di UNP,"Jakarta - Elnusa Petrofin (EPN) anak usaha PT Elnusa Tbk (ELSA) berpartisipasi dalam 'Workshop Literasi dan Pelatihan Jurnalistik' yang digelar di Universitas Negeri Padang (UNP). Acara ini dihadiri 1.500 peserta yang terdiri dari guru TK, SD, SMP, SMA/SMK, mahasiswa, dan akademisi Universitas Negeri Padang.Adapun acara yang diselenggarakan oleh Media Padang Ekspres di Auditorium Universitas Negeri Padang, Sumatera Barat, pada Sabtu, (2/11) yang lalu ini bertema 'Strategi Membangun Mental Milenial di Era Digital'.Manager Corporate Communication & Relations PT Elnusa Petrofin Putiarsa Bagus Wibowo mengatakan workshop ini merupakan salah satu program Corporate Social Responsibility (CSR) perusahaan yang menjadi upaya Elnusa Petrofin untuk memperbaiki literasi masyarakat.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Partisipasi dalam workshop ini merupakan implementasi nyata dari program Corporate Social Responsibility (CSR) kami, yaitu Petrofin Journalist Academy. Kami bangga bahwa tahun 2023 ini adalah tahun ketiga penyelenggaraan acara ini, menunjukkan komitmen Elnusa Petrofin terhadap literasi serta sebagai salah satu upaya kami dalam meningkatkan hubungan baik dengan media,"" ujar Putiarsa Bagus dalam keterangan tertulis, Senin (4/12/2023).Sebagai bagian dari inisiatif workshop, para guru yang mengikuti acara ini memiliki kesempatan untuk mengekspresikan gagasan dan pemikiran mereka melalui kolom khusus di media Padang Ekspres dalam rubrikasi yang disebut 'Laman Guru'. Harapannya adalah para guru mampu termotivasi untuk menulis dan menuangkan ide-ide mereka melalui tulisan.Baca juga: Dukung Net Zero Emission, Elnusa Petrofin Tanam 1.062 Pohon TrembesiSementara itu, Direktur Utama Padang Ekspres Mhd Nazir Fahmi berharap melalui workshop ini para guru dapat menjadi lebih kreatif dalam berkomunikasi, mengemas, dan menyampaikan pesan secara efektif.""Dalam acara ini, para guru juga belajar mengenai pentingnya literasi terhadap pembangunan mental dan bagaimana meningkatkan literasi di kalangan siswa di sekolah,"" ujar Nazir Fahmi.Sejalan dengan implementasi Sustainable Development Goals (SDG's) dan Environment, Social and Corporate Governance (ESG), Elnusa Petrofin terus mempertegas komitmennya terhadap CSR dalam bidang literasi dan pendidikan. Dalam hal ini khususnya membawa kontribusi positif kepada para peserta workshop dan komunitas pendidikan Sumatera Barat.Sebagai informasi, Workshop tersebut menghadirkan Pemimpin Redaksi Padang Ekspres Rommi Delfiano, Pakar Komunikasi dan Motivator Nasional Aqua Dwipayana, dan Praktisi Literasi Digital Savero Dwipayana sebagai pemateri yang memberikan wawasan secara mendalam mengenai literasi dan jurnalistik kepada peserta.Workshop ini tidak hanya bertujuan untuk memperingati Hari Guru, tetapi juga untuk meningkatkan kemampuan berkomunikasi secara efektif, terutama dalam literasi jurnalistik. Workshop ini juga didukung oleh Dinas Pendidikan Sumbar dan sejumlah Dinas Pendidikan Kabupaten dan Kota.Baca juga: Elnusa Petrofin Salurkan BBM Perdana di Fuel Terminal Indragiri
(anl/ega)


elnusa petrofin elnusa universitas negeri padang literasi",Politik
5 Tips Foreplay buat Bikin Sesi Bercinta Makin Panas,"Daftar Isi




							Tips Foreplay agar Pasangan Makin Bergairah						


						1. Berkomunikasi secara Aktif					

						2. 'Sexting'					

						3. Jelajahi Tubuh Pasangan					

						4. Gunakan Bantuan 'Visual'					

						5. Masturbasi Bersama					





Jakarta - Meski terkesan sepele, foreplay adalah bagian yang tidak boleh dilupakan saat berhubungan intim. Pasalnya, foreplay dapat memberikan efek dahsyat dalam meningkatkan kenikmatan saat bercinta dengan pasangan.Tapi sebelumnya, foreplay itu apa sih? Dikutip dari WebMD, foreplay atau 'outercourse' beragam aktivitas seksual yang dilakukan sebelum berhubungan seks. Foreplay kerap dianggap sebagai sesi 'pemanasan'. Kendati demikian, foreplay tidak harus selalu berakhir dengan penetrasi.Foreplay bisa dilakukan dengan berbagai cara, seperti berpelukan, berciuman, membelai, hingga bahkan berbicara menggunakan kata-kata romantis. Setiap orang memiliki preferensi foreplay yang berbeda-beda, karenanya dibutuhkan beberapa kali percobaan sampai menemukan teknik foreplay yang bisa memuaskan pasangan.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Jika masih belum memiliki teknik foreplay yang sesuai, berikut 5 tips foreplay yang bisa membantu meningkatkan gairah dan membuat sesi bercinta makin 'menggebu-gebu'.Tips Foreplay agar Pasangan Makin Bergairah1. Berkomunikasi secara AktifAktivitas seksual tidak hanya soal gaya atau teknik saja. Komunikasi dengan pasangan pun merupakan hal yang tidak boleh dilupakan saat berhubungan intim.Dengan berkomunikasi, suami atau istri bisa saling mengetahui tentang apa yang membuat pasangannya terangsang, posisi favorit, titik sensitif, hingga fantasi seksual yang sekiranya dapat meningkatkan 'keseruan' sesi ranjang.2. 'Sexting'Foreplay tidak hanya terjadi di tempat tidur saja. Sebab, 'pemanasan' menuju seks bisa dilakukan jauh sebelum sesi bercinta dimulai.Salah satu caranya adalah dengan 'sexting'. Sexting merupakan gabungan antara 'sex' dan 'testing', yakni kegiatan mengirimkan pesan atau gambar 'nakal' dan romantis kepada pasangan untuk membangun mood menuju seks. Sexting dapat membuat pasangan semakin menanti dan mengantisipasi aktivitas seksual, sehingga saat sesi bercinta dimulai, gairah sudah berada mendekati puncak dan kenikmatan seksual yang dirasakan menjadi berlipat-lipat.Baca juga: Suami Catat! Ini 6 Cara Alami agar Kuat dan Tahan Lama saat Berhubungan Intim3. Jelajahi Tubuh PasanganBaik pria maupun wanita memiliki sejumlah titik-titik sensitif di tubuh. Ketika titik tersebut disentuh, biasanya dapat memunculkan rangsangan seksual dan gairah untuk bercinta.Untuk menemukan titik-titik tersebut terbilang susah-susah gampang, karena setiap orang memiliki titik yang berbeda-beda. Karenanya, butuh beberapa kali percobaan sampai bisa mengetahui secara pasti di mana letak titik-titik sensitif yang dapat memberikan rangsangan luar biasa kepada pasangan.4. Gunakan Bantuan 'Visual'Khusus buat pasutri, menonton film dewasa bisa menjadi salah satu cara membangun mood untuk berhubungan intim. Ahli terapi seks Rachel Wright, MA, mengatakan menyaksikan adegan seksi atau film dewasa dapat merilekskan pikiran dari hal-hal yang tidak perlu dan memunculkan rangsangan untuk berhubungan intim.""Masing-masing orang memiliki akselerator seksual yang membantu memunculkan mood berhubungan seks. Ada banyak cara yang dapat dilakukan untuk merangsang indra tersebut,"" ujarnya.5. Masturbasi BersamaMasturbasi tak hanya jadi sesi untuk memuaskan diri sendiri, tapi juga bisa jadi aktivitas yang dapat meningkatkan gairah saat berhubungan intim. Selain memberi kenikmatan, masturbasi bersama ternyata secara tidak langsung dapat 'mengajarkan' pasangan tentang titik dan bagian tubuh yang dapat merangsang gairah seksual. Hal ini tentunya dapat membantu pasangan lebih mudah mencapai orgasme saat berhubungan intim.Baca juga: Curhat Para Pria soal Rasanya Orgasme, Beneran Terasa Seperti 'Melayang'?
Simak Video ""Hal yang Harus Diperhatikan Sebelum Melakukan Seks Oral""
[Gambas:Video 20detik]
(ath/vyp)


seks bercinta foreplay gairah seksual",Kesehatan
"AKP Reza Buat 'Densanak Tuli', Layani SIM Warga Tunarungu di Kukar","Jakarta - AKP Reza Pratama Rhamdani Yusuf mengembangkan program 'Densanak Tuli' sewaktu menjabat Kasat Lantas Polres Kutai Kartanegara (Kukar), Kalimantan Timur. Program tersebut dibuat untuk mengakomodasi warga tunarungu yang ingin mempunyai SIM.Reza bertugas menjadi Kasat Lantas Polres Kukar periode 2021-2023. Atas inovasi yang dibuatnya dalam waktu dua tahun itu, Reza diusulkan sebagai kandidat Hoegeng Corner 2023.""Jadi teman-teman disabilitas, terutama rungu, itu kita akomodir untuk bisa membuat SIM, nah dasarnya itu ada dari surat Bapak Kapolri, terkait audiensi dari disabilitas dari Jakarta, bagaimana teman-teman dari tunarungu ini bisa mendapatkan SIM,"" kata Reza saat berbincang dengan detikcom, Senin (4/12/2023).


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Satlantas Polres Kukar (Foto: dok. Istimewa)Reza menjelaskan, kata Densanak diambil dari bahasa Kutai, yang berarti saudara. Dia mengembangkan program Densanak Tuli ini dengan bekerja sama dengan lembaga sosial di Kukar bernama Kaliya.""Jadi selama ini teman-teman tunarungu ini sudah banyak yang bekerja jadi sopir Gojek, sopir Grab, dan lain sebagainya, akhirnya saya coba koordinasi dengan teman-teman Kaliya di Kutai Kertanegara, untuk bisa mengakomodir teman-teman tunarungu,"" imbuh Reza.Baca juga: Inovasi Brigadir Agus Hartono Olah Sampah Plastik Jadi BBM Solar di KolakaMenurut Reza, Kaliya ini menerbitkan rekomendasi bagi warga tunarungu yang masih bisa untuk memiliki SIM. Ada sejumlah indikator yang dinilai dalam kesehatan pemohon.""Kita indikator untuk kesehatannya bekerja sama dengan pihak Kaliya untuk bisa menerbitkan rekomendasi bagi tunarungu yang memang masih memiliki pendengaran beberapa persen sehingga dikatakan layak untuk memiliki SIM,"" ujar Reza.Satlantas Polres Kukar (Foto: dok. Istimewa)Selama Reza menjabat, sudah ada 80 warga yang mendapatkan SIM melalui program Densanak Tuli. Bahkan, menurut dia, program itu juga diadopsi Polda Kaltim untuk diterapkan di seluruh Satlantas jajaran.""Akhirnya dari Satlantas Kukar itu mengajukan nota dinas ke Polda, waktu itu Ditlantas Polda Kaltim, kebetulan itu ada lomba inovasi bagi Satlantas jajaran yang ada di Kaltim. Saya ajukanlah ini inovasi ini kemudian diambil sama Ditlantas untuk dijadikan program Polda untuk jajaran Satlantas Polda Kaltim,"" tutur Reza.Setelah mendapatkan SIM, warga tunarungu ini akan mendapatkan stiker untuk ditempel di kendaraannya. Stiker ini memuat lambang tunarungu yang sudah disepakati di tingkat internasional.""Supaya orang di sekelilingnya itu tahu bahwa pengendara ini ada keterbatasan dalam hal pendengaran,"" kata Reza.Reza mengatakan program Densanak Tuli juga mendapatkan apresiasi dari komisi tunarungu. Dia merasa senang atas pencapaian tersebut.""Jadi setelah dijadikan program direktorat level Polda, kemudian dari Polda mengajukan, komisi tunarungu akhirnya Polda mendapatkan penghargaan, tapi itu sebenarnya inovasi dari Kutai,"" imbuh Reza.Selain itu, Reza sempat membuat inovasi Molah Formulir SIM Sorang. Program ini memberikan kemudahan bagi masyarakat saat mengajukan permohonan SIM""Itu sebenarnya kemudahan untuk masyarakat bagi pemohon SIM tanpa harus menulis formulir secara manual, dengan digital, jadi by phone buka website yang ada, kemudian dia ikut data, otomatis data itu akan masuk ke database kita. Pada saat pemohon SIM ini datang ke Satpas dia hanya tinggal nge-print aja berdasarkan kode yang sudah didapat. Sebenarnya mempermudah masyarakat untuk mengisi formulir,"" kata Reza.
(knv/hri)


hoegeng corner hoegeng corner di detikpagi kandidat hoegeng corner",Politik
Curhat Dokter Tangani Pasien Muda Usia 9-11 Tahun yang Kena Kanker Paru,"Jakarta - Nasib perokok pasif selama ini selalu dikaitkan dengan masalah paru-paru, termasuk kanker paru. Pasalnya, mereka menghirup asap rokok di sekitarnya dan ini berdampak cukup buruk pada organ paru-paru.Kanker paru sendiri terjadi saat sel-sel dinding saluran udara organ paru membelah secara tak terkontrol dan membentuk suatu massa padat atau disebut tumor. Seiring dengan perkembangan sel ini, fungsi normal paru dapat terganggu. Sel kanker ini juga dapat menyebar ke jaringan getah bening, organ paru lain, tulang, otak, dan hati.Ketua Kelompok Kerja (Pokja) Onkologi dari Perhimpunan Dokter Paru Indonesia, dr Sita Laksmi Andarini, PhD, SpP(K), mengatakan orang-orang yang paling berisiko terkena kanker paru adalah mereka yang merokok dan terkena asap rokok alias perokok pasif.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Baca juga: Dugaan Pemicu Kasus COVID-19 Malaysia Ikut 'Ngegas', Naik Lebih dari 50 Persen""Secondhand smoke itu yang terkena paparannya langsung. Kalau yang third hand smoke itu misalnya dia terkena paparan dari sisa-sisa yang ada di meja, di gorden, sudah nggak ada yang merokok tapi ada baunya asap rokok itu juga memiliki risiko ya,"" ucapnya dalam webinar daring, Senin (4/12/2023).Penyakit ini tidak hanya diidap oleh orang dewasa hingga lanjut usia, tetapi juga anak-anak. dr Sita bercerita, beberapa teman sejawatnya ada yang menangani kasus kanker paru pada pasien berusia 9 tahun.Bahkan di RSUP Persahabatan, tempat ia berpraktik saat ini, juga ditemukan pasien berusia 11 tahun yang terkena kanker paru. Adapun penyebabnya bukan karena kebiasaan atau pola hidup yang buruk, melainkan karena paparan asap rokok yang terus-menerus.""Menyedihkan, ada beberapa sejawat mendapatkan kanker paru di usia 9 tahun. Ada juga di rumah sakit persahabatan mendapatkan kanker paru 11 tahun. Tidak merokok, tetapi perokok pasif terus-menerus,"" imbuhnya.""Jadi itu yang agak miris ya. Datanya sedang kita kumpulkan, saya belum bisa memberitahu berapa usia termuda dan tertua kena kanker paru. Kalau usia kanker paru ada yang 95 tahun ya terkena kanker paru,"" sambungnya lagi.Baca juga: Dinkes DKI Laporkan Anak Kena Mycoplasma, Ini Gejala yang Dikeluhkan
Simak Video ""WHO Minta Semua Negara Setop Rokok dan Vape di Sekolah!""
[Gambas:Video 20detik]
(suc/naf)


rokok asap rokok kanker paru kanker",Kesehatan
Aksi Solidaritas Dokter di Turki untuk Palestina,"Istanbul - Sejumlah dokter dan mahasiswa kedokteran menggelar aksi solidaritas di Istanbul, Turki. Aksi ini sebagai dukungan untuk para dokter dan nakes di Palestina.",Kesehatan
